id;name;description;u_uid
1;Tennessee Electronics Canyon;Rustic Account;ROI Savings
2;Associate Libyan;Synchronised Lanka Forward;Intranet
3;Handmade partnerships;Chair pink;infomediaries
4;transmit Industrial;Vanuatu Bedfordshire;Liberia
5;Health integrated productivity;bi-directional;navigate moratorium bypass
6;Towels;customized Rubber;input District User-centric
7;Central Islands Salad;drive;Savings Account
8;action-items Malta Generic;methodologies system Planner;Checking
9;Handcrafted Frozen Springs;transmitting;content-based
10;Forward;Walk customized;framework CSS
