id;name;description;alias
1;Account SMTP EXE;fuchsia Beauty;Reverse-engineered Falkland
2;invoice;Pants parse;Mouse redefine
3;visualize generating Street;Sausages;Wyoming Rapids
4;Auto Meadow;pink Soft Handmade;Brand
5;cross-platform Shirt;B2B Kids compressing;Mouse Implementation Burundi
6;full-range withdrawal Orchestrator;Missouri Architect;1080p
7;Shoes;Malta;AI
8;interface sensor;solutions Dakota drive;e-markets
9;deposit;driver functionalities;Account
10;Account;mobile tan Metal;Synergistic
